@relation specialChris.accepted.passwords.keystroke.rhythm
@attribute flightTime0 numeric
@attribute dwellTime0 numeric
@attribute flightTime1 numeric
@attribute dwellTime1 numeric
@attribute flightTime2 numeric
@attribute dwellTime2 numeric
@attribute flightTime3 numeric
@attribute dwellTime3 numeric
@attribute flightTime4 numeric
@attribute dwellTime4 numeric
@attribute flightTime5 numeric
@attribute dwellTime5 numeric
@attribute flightTime6 numeric
@attribute dwellTime6 numeric
@attribute flightTime7 numeric
@attribute dwellTime7 numeric
@attribute flightTime8 numeric
@attribute dwellTime8 numeric
@attribute flightTime9 numeric
@attribute dwellTime9 numeric
@attribute flightTime10 numeric
@attribute dwellTime10 numeric
@attribute flightTime11 numeric
@attribute dwellTime11 numeric
@attribute backspaceCount numeric
@attribute class {accepted,denied}

@data
% Accepted data
-104,191,-88,137,-1216,104,313,1223,-103,175,-80,135,-88,128,417,112,-95,143,-111,175,-1972,127,0,2044,0,denied
-128,224,-95,152,-552,103,201,664,-105,184,-104,152,-104,144,360,144,-119,184,-104,167,-511,112,0,592,0,denied
-112,200,-96,160,-888,104,232,920,-96,176,-104,144,-72,136,400,112,-128,168,-104,168,-1565,112,0,1741,0,denied
-120,176,-80,168,-1128,104,200,1152,-120,208,-103,143,-72,128,544,128,-121,217,-105,177,-1997,120,0,2110,0,denied
-112,200,-88,152,-815,103,217,895,-111,191,-87,143,-80,120,335,136,-103,160,-95,167,-1492,103,0,1653,0,denied
-127,232,-95,167,-904,111,192,913,-95,199,-103,135,-63,119,409,119,-128,191,-128,224,-1621,137,0,1708,0,denied
-136,184,-105,177,-1056,105,256,1079,-112,184,-120,168,-72,136,400,112,-112,208,-112,176,-1828,136,0,1908,0,denied
-824,176,-136,864,-89,153,176,96,-88,160,-112,144,-88,136,352,136,-120,168,-112,176,-1437,120,0,1517,0,denied
-128,224,-88,168,-840,104,184,864,-80,152,-121,136,-87,128,584,120,-105,161,-120,168,-1621,136,0,1653,0,denied
-120,168,-976,153,-80,992,191,80,-80,177,-40,176,88,167,328,97,-72,167,-112,144,-1852,128,0,1884,0,denied
-800,169,-113,816,-89,113,161,104,-104,175,-104,128,-96,136,297,136,-96,135,-112,168,-1284,128,0,1308,0,denied
-112,224,-800,136,-104,825,175,104,-80,160,-104,128,-64,120,657,103,-96,176,-1653,152,-136,1669,0,144,0,denied
-752,145,-129,784,-88,137,161,95,-104,184,-95,119,-72,120,560,120,-96,160,-95,160,-1533,111,0,1573,0,denied
-792,169,-128,807,-80,144,208,88,-88,168,-88,120,-81,121,312,104,-152,240,-87,200,-1428,119,0,1468,0,denied
-96,216,-808,128,-104,832,232,104,-120,160,-113,153,-88,144,280,112,-103,152,-104,159,-1316,120,0,1364,0,denied
160,103,321,72,-1081,80,449,1208,56,159,144,121,209,119,848,96,137,71,145,71,-1112,71,0,1232,0,denied
344,72,230,56,-2465,66,385,2552,80,128,192,112,152,128,864,104,128,72,144,64,-728,63,0,824,0,denied
136,64,208,80,-1488,80,432,1816,64,144,128,112,104,128,664,104,160,80,152,64,-952,72,0,1048,0,denied
112,80,184,80,-784,72,768,888,88,128,368,120,136,112,520,112,145,72,152,63,-784,72,0,880,0,denied
121,72,168,87,-776,96,368,832,48,160,185,128,193,143,553,79,145,71,152,71,-744,72,0,840,0,denied
121,79,145,79,-1303,87,585,1423,49,151,112,135,96,129,480,104,144,64,160,72,-777,72,0,840,0,denied
120,80,144,80,-1464,80,328,1568,88,144,96,128,168,128,528,120,144,64,160,64,-728,72,0,823,0,denied
112,80,144,80,-744,80,664,824,72,120,72,160,96,136,801,104,136,63,136,72,-1096,64,0,1184,0,denied
112,71,136,80,-1152,80,281,1216,64,127,64,144,81,136,473,111,120,71,137,72,-824,87,0,880,0,denied
124,63,152,69,-760,72,289,807,144,104,77,171,176,104,400,104,145,63,136,64,-664,64,0,711,0,denied
